iter,maxphiE,minphiE,volE
0,+1.000000000000000,+0.000000000000000,+1073742309.000000000000000,+0.000000000000000
1,+1.001349330709602,-0.001762402157846,+1073740964.753245353698730,+0.000000000000000
2,+1.002574301959450,-0.003299702257583,+1073740972.699336409568787,+0.000000000000000
3,+1.003678668763233,-0.004828677465356,+1073741464.981730699539185,+0.000000000000000
4,+1.004666013489344,-0.006284585954815,+1073742926.685405492782593,+0.000000000000000
5,+1.005539762166376,-0.007667197465459,+1073742933.366961479187012,+0.000000000000000
6,+1.006303199363591,-0.008978679030056,+1073742939.858838558197021,+0.000000000000000
7,+1.006959481782465,-0.010221215954225,+1073742946.256829738616943,+0.000000000000000
8,+1.007511650674447,-0.011397002091519,+1073742952.377560615539551,+0.000000000000000
9,+1.007962643183100,-0.012508230924576,+1073742958.570596218109131,+0.000000000000000
10,+1.008315302695077,-0.013557087455164,+1073743449.041449069976807,+0.000000000000000
11,+1.008572388273325,-0.014545740894095,+1073744423.807910919189453,+0.000000000000000
12,+1.008736583236961,-0.015476338131727,+1073744428.436057090759277,+0.000000000000000
13,+1.008810502945142,-0.016354585831055,+1073745402.720625877380371,+0.000000000000000
14,+1.008796701836397,-0.017182105438328,+1073745406.973008632659912,+0.000000000000000
15,+1.008810498306581,-0.017958481514563,+1073746380.746575593948364,+0.000000000000000
16,+1.008810502311502,-0.018685602923591,+1073746384.083206653594971,+0.000000000000000
17,+1.008796701158535,-0.019365309216691,+1073746387.605277538299561,+0.000000000000000
18,+1.008697679048817,-0.019999390279879,+1073746875.906313896179199,+0.000000000000000
19,+1.008515886950063,-0.020589586159762,+1073747848.821314334869385,+0.000000000000000
20,+1.008572383618551,-0.021137587052183,+1073748336.307257175445557,+0.000000000000000
21,+1.008736578172467,-0.021645033438661,+1073749308.541868686676025,+0.000000000000000
22,+1.008810497473252,-0.022113516356448,+1073749795.575185298919678,+0.000000000000000
23,+1.008810498796143,-0.022544577788774,+1073750282.491300106048584,+0.000000000000000
24,+1.008796697377640,-0.022939711162553,+1073751254.105566024780273,+0.000000000000000
25,+1.008810500655709,-0.023300361941967,+1073752225.428791522979736,+0.000000000000000
26,+1.008796699622253,-0.023627928306296,+1073752226.958137750625610,+0.000000000000000
27,+1.008810497537863,-0.023923761901875,+1073752713.872781276702881,+0.000000000000000
28,+1.008796696033048,-0.024189168658389,+1073752715.822523117065430,+0.000000000000000
29,+1.008736577358910,-0.024425409660459,+1073752718.109097480773926,+0.000000000000000
